TARGET_ID	INDIVIDUALS	STRATA
GB28	GB28	grand_astrolabe
GB29	GB29	grand_astrolabe
GB30	GB30	grand_astrolabe
GB31	GB31	grand_astrolabe
GB33	GB33	grand_astrolabe
GB34	GB34	grand_astrolabe
GB35	GB35	grand_astrolabe
GB36	GB36	grand_astrolabe
GB37	GB37	petit_astrolabe
GB38	GB38	petit_astrolabe
GB39	GB39	petit_astrolabe
GB40	GB40	petit_astrolabe
GB41	GB41	grand_astrolabe
GB42	GB42	grand_astrolabe
GB43	GB43	grand_astrolabe
GB44	GB44	grand_astrolabe
GB46	GB46	grand_astrolabe
GB47	GB47	grand_astrolabe
GB48	GB48	grand_astrolabe
GB49	GB49	grand_astrolabe
GB50	GB50	grand_astrolabe
GB51	GB51	grand_astrolabe
GB52	GB52	grand_astrolabe
GB53	GB53	grand_astrolabe
GB54	GB54	grand_astrolabe
GB55	GB55	grand_astrolabe
GB56	GB56	grand_astrolabe
GB57	GB57	grand_astrolabe
GB58	GB58	grand_astrolabe
GB59	GB59	grand_astrolabe
GB60	GB60	grand_astrolabe
GB61	GB61	grand_astrolabe
GB62	GB62	grand_astrolabe
GB63	GB63	grand_astrolabe
GB64	GB64	grand_astrolabe
GB65	GB65	grand_astrolabe
GB66	GB66	grand_astrolabe
GB67	GB67	grand_astrolabe
GB68	GB68	petit_astrolabe
GB69	GB69	petit_astrolabe
GB70	GB70	petit_astrolabe
GB71	GB71	petit_astrolabe
GB72	GB72	petit_astrolabe
GB73	GB73	petit_astrolabe
GB74	GB74	petit_astrolabe
GB75	GB75	petit_astrolabe
GB76	GB76	petit_astrolabe
GB77	GB77	petit_astrolabe
GB78	GB78	petit_astrolabe
GB79	GB79	petit_astrolabe
GB80	GB80	petit_astrolabe
GB81	GB81	petit_astrolabe
GB82	GB82	petit_astrolabe
GB83	GB83	petit_astrolabe
GB84	GB84	petit_astrolabe
GB85	GB85	petit_astrolabe
GB86	GB86	petit_astrolabe
GB87	GB87	petit_astrolabe
GB88	GB88	petit_astrolabe
GB89	GB89	petit_astrolabe
GB90	GB90	petit_astrolabe
GB91	GB91	petit_astrolabe
GB92	GB92	petit_astrolabe
GB93	GB93	petit_astrolabe
GB94	GB94	petit_astrolabe
GB95	GB95	petit_astrolabe
GB96	GB96	petit_astrolabe
GB97	GB97	petit_astrolabe
GB98	GB98	petit_astrolabe
GB99	GB99	petit_astrolabe
GR1	GR1	ningaloo
GR11	GR11	ningaloo
GR2	GR2	ningaloo
GR3	GR3	ningaloo
GR4	GR4	ningaloo
GR6	GR6	ningaloo
GR7	GR7	ningaloo
GR8	GR8	ningaloo
GR9	GR9	ningaloo
Herald1	Herald1	coral_sea
Herald3	Herald3	coral_sea
Herald4	Herald4	coral_sea
Herald5	Herald5	coral_sea
Herald6	Herald6	coral_sea
Herald7	Herald7	coral_sea
Herald8	Herald8	coral_sea
Herald9	Herald9	coral_sea
HI131	HI131	south_gbr
HI1310	HI1310	south_gbr
HI1311	HI1311	south_gbr
HI1312	HI1312	south_gbr
HI1313	HI1313	south_gbr
HI1314	HI1314	south_gbr
HI1316	HI1316	south_gbr
